stop_id,stop_name,stop_lat,stop_lon,stop_desc
NAMPA1,Nampally Station Road Bus Stop,17.38915,78.47314,
NAMPA2,Nampally Railway Station,17.39233,78.46996,
NAMPA3,Nampally Public Garden,17.39499,78.47036,
NAMPA4,Nampally Grand Plaza,17.39775,78.4707,
NAMPA5,Nampally,17.3962,78.47122,nampally towards gandhi bhavan
NAMPA6,Nampally Haj House,17.39433,78.47047,
NANAL1,Nanal Nagar,17.39567,78.42769,
NARAY1,Narayanaguda,17.40059,78.48922,
NARAY2,Narayanaguda,17.40039,78.49038,
NARSI1,Narsingi,17.38547,78.35542,
NARSI2,Narsingi,17.38536,78.35536,
